congress,statabb,district,name,party,aauw,age,srvlng,woman,ngirls,nboys,demvote
105,PA,15,"MCHALE, PAUL",1,75,46,5,0,1,2,.46000001
105,NY,24,"MCHUGH, JOHN M.",2,38,48,5,0,0,0,.49000001
105,CO,3,"MCINNIS, SCOTT",2,0,43,5,0,2,1,.43000001
105,IN,2,"MCINTOSH, DAVID M.",2,0,38,3,0,1,0,.41999999
105,NC,7,"MCINTYRE, MIKE",1,50,40,1,0,0,2,.44
105,CA,25,"MCKEON, HOWARD P. (BUCK)",2,0,58,5,0,3,3,.41
105,GA,4,"MCKINNEY, CYNTHIA ANN",1,100,41,5,1,0,1,.63999999
105,NY,21,"MCNULTY, MICHAEL R.",1,50,49,9,0,4,0,.56999999
105,MA,5,"MEEHAN, MARTIN T.",1,100,40,5,0,0,0,.57999998
105,FL,17,"MEEK, CARRIE P.",1,100,70,5,1,2,1,.85000002
105,NJ,13,"MENENDEZ, ROBERT",1,88,43,5,0,1,1,.70999998
105,WA,2,"METCALF, JACK",2,0,69,3,0,4,0,.47
105,FL,7,"MICA, JOHN L.",2,0,53,5,0,1,1,.43000001
105,CA,37,"MILLENDER-MCDONALD, JUANITA",1,100,58,1,1,3,1,.81
105,FL,13,"MILLER, DAN",2,13,54,5,0,1,1,.43000001
105,CA,7,"MILLER, GEORGE",1,100,51,23,0,0,2,.64999998
105,MN,2,"MINGE, DAVID",1,88,54,5,0,0,2,.44999999
105,HI,2,"MINK, PATSY T.",1,100,69,17,1,1,0,.56999999
105,MA,9,"MOAKLEY, JOHN",1,75,69,25,0,0,0,.62
105,NY,13,"MOLINARI, SUSAN",2,0,38,8,0,1,0,.50999999
105,WV,1,"MOLLOHAN, ALAN B.",1,50,53,15,0,1,4,.49000001
105,VA,8,"MORAN, JAMES P., JR.",1,75,51,7,0,2,3,.55000001
105,KS,1,"MORAN, JERRY",2,25,42,1,0,2,0,.28
105,MD,8,"MORELLA, CONSTANCE A.",2,100,65,11,1,1,2,.56999999
105,PA,12,"MURTHA, JOHN P.",1,63,65,24,0,1,2,.46000001
105,NC,9,"MYRICK, SUE",2,13,55,3,1,3,2,.38
105,NY,8,"NADLER, JERROLD",1,88,49,5,0,0,1,.76999998
105,MA,2,"NEAL, RICHARD E.",1,75,47,9,0,1,3,.61000001
105,WA,5,"NETHERCUTT, GEORGE R.",2,0,52,3,0,1,1,.44
105,WI,1,"NEUMANN, MARK W.",2,0,42,3,0,1,2,.5
105,OH,18,"NEY, ROBERT WILLIAM (BOB)",2,25,42,3,0,1,1,.47
105,KY,3,"NORTHUP, ANNE MEAGHER",2,0,48,1,0,2,4,.52999997
105,GA,10,"NORWOOD, CHARLES",2,0,55,3,0,0,2,.47999999
105,IA,2,"NUSSLE, JIM",2,13,36,7,0,1,1,.52999997
105,MN,8,"OBERSTAR, JAMES L.",1,63,62,23,0,4,2,.52999997
105,WI,7,"OBEY, DAVID R.",1,88,58,29,0,0,2,.49000001
105,MA,1,"OLVER, JOHN W.",1,100,60,7,0,1,0,.61000001
105,TX,27,"ORTIZ, SOLOMON",1,63,58,15,0,1,1,.56999999
105,NY,11,"OWENS, MAJOR ROBERT ODELL",1,100,60,15,0,1,4,.89999998
105,OH,4,"OXLEY, MICHAEL G.",2,0,52,17,0,0,1,.37
105,CA,48,"PACKARD, RONALD C.",2,0,65,15,0,4,3,.34
105,NJ,6,"PALLONE, FRANK, JR.",1,100,45,9,0,1,1,.54000002
105,NJ,12,"PAPPAS, MICHAEL",2,0,36,1,0,,,.47999999
105,MS,4,"PARKER, MIKE",2,0,47,9,0,1,2,.46000001
105,NJ,8,"PASCRELL, WILLIAM J.",1,88,59,1,0,0,3,.57999998
105,AZ,2,"PASTOR, ED",1,100,53,5,0,2,0,.63
105,TX,14,"PAUL, RON E.",2,13,61,1,0,3,2,.41999999
105,NY,27,"PAXON, L. WILLIAM",2,0,42,9,0,1,0,.43000001
105,NJ,10,"PAYNE, DONALD M.",1,100,62,9,0,2,1,.81999999
105,IN,7,"PEASE, EDWARD A.",2,0,45,1,0,0,0,.34999999
105,CA,8,"PELOSI, NANCY",1,100,56,11,1,4,1,.66000003
105,MN,7,"PETERSON, COLLIN C.",1,63,52,7,0,0,3,.44999999
105,PA,5,"PETERSON, JOHN E.",2,0,58,1,0,0,1,.40000001
105,WI,6,"PETRI, THOMAS EVERT",2,13,56,19,0,1,0,.44999999
105,MS,3,"PICKERING, CHARLES W., JR.",2,0,33,1,0,0,4,.36000001
105,VA,2,"PICKETT, OWEN B.",1,100,66,11,0,3,0,.44
105,PA,16,"PITTS, JOSEPH R.",2,0,57,1,0,2,1,.37
105,CA,11,"POMBO, RICHARD W.",2,0,36,5,0,2,1,.46000001
105,ND,1,"POMEROY, EARL R.",1,88,44,5,0,1,1,.40000001
105,IL,10,"PORTER, JOHN EDWARD",2,25,61,18,0,3,2,.5
105,OH,2,"PORTMAN, ROBERT J.",2,0,41,5,0,1,2,.34
105,IL,19,"POSHARD, GLENN",1,63,51,9,0,1,1,.47
105,NC,4,"PRICE, DAVID E.",1,100,56,11,0,1,1,.49000001
105,OH,15,"PRYCE, DEBORAH",2,25,45,5,1,1,1,.44
105,NY,30,"QUINN, JACK",2,38,45,5,0,1,1,.56999999
105,CA,19,"RADANOVICH, GEORGE",2,0,41,3,0,0,0,.40000001
105,WV,3,"RAHALL, NICK JOE",1,63,47,21,0,2,1,.57999998
105,MN,3,"RAMSTAD, JIM",2,38,50,7,0,0,0,.47
105,NY,15,"RANGEL, CHARLES",1,88,66,27,0,1,1,.91000003
105,NM,3,"REDMOND, WILLIAM T.",2,14,41,1,0,1,1,.51999998
105,OH,16,"REGULA, RALPH S.",2,25,72,25,0,1,2,.43000001
105,TX,16,"REYES, SILVESTRE",1,88,52,1,0,2,1,.63
105,CA,1,"RIGGS, FRANK DU",2,0,46,7,0,1,2,.47999999
105,AL,3,"RILEY, ROBERT R.",2,0,52,1,0,3,1,.44
105,MI,13,"RIVERS, LYNN N.",1,100,40,3,1,2,0,.57999998
105,TX,28,"RODRIGUEZ, CIRO D.",1,100,50,1,0,1,0,.63
105,IN,3,"ROEMER, TIM",1,63,40,7,0,1,2,.43000001
105,CA,27,"ROGAN, JAMES E.",2,0,39,1,0,2,0,.49000001
105,KY,5,"ROGERS, HAROLD D.",2,0,59,17,0,1,2,.47
105,CA,45,"ROHRABACHER, DANA",2,0,49,9,0,0,0,.38
105,FL,18,"ROS-LEHTINEN, ILEANA",2,13,44,8,1,2,0,.43000001
105,NJ,9,"ROTHMAN, STEVEN R.",1,100,44,1,0,1,1,.60000002
105,NJ,5,"ROUKEMA, MARGARET S.",2,38,67,17,1,1,1,.41999999
105,CA,33,"ROYBAL-ALLARD, LUCILLE",1,100,55,5,1,2,2,.80000001
105,CA,39,"ROYCE, EDWARD R.",2,0,45,5,0,0,0,.41
105,IL,1,"RUSH, BOBBY L.",1,100,50,5,0,1,4,.85000002
105,KS,2,"RYUN, JAMES R.",2,0,49,1,0,2,2,.38999999
105,MN,5,"SABO, MARTIN OLAV",1,100,58,19,0,2,0,.62
105,AZ,1,"SALMON, MATTHEW",2,0,38,3,0,2,2,.44999999
105,CA,46,"SANCHEZ, LORETTA",1,100,37,1,1,0,0,.49000001
105,VT,1,"SANDERS, BERNARD",3,100,55,7,0,2,2,.52999997
105,TX,1,"SANDLIN, MAX A., JR.",1,88,44,1,0,2,2,.44999999
105,SC,1,"SANFORD, MARSHALL",2,13,36,3,0,0,3,.38
105,OH,14,"SAWYER, THOMAS C. (TOM)",1,100,51,11,0,1,0,.52999997
105,NJ,3,"SAXTON, H. JAMES",2,25,53,13,0,1,1,.5
105,FL,1,"SCARBOROUGH, JOE",2,0,33,3,0,0,2,.31
105,CO,6,"SCHAEFER, DANIEL",2,0,60,15,0,1,3,.43000001
105,CO,4,"SCHAFER, ROBERT W. (BOB)",2,0,34,1,0,3,1,.41
105,NM,1,"SCHIFF, STEVEN H.",2,0,49,9,0,1,1,.47999999
105,NY,9,"SCHUMER, CHARLES E.",1,100,46,17,0,2,0,.66000003
105,VA,3,"SCOTT, ROBERT C.",1,100,49,5,0,0,0,.72000003
105,WI,9,"SENSENBRENNER, FRANK JAMES",2,0,53,19,0,0,2,.37
105,NY,16,"SERRANO, JOSE E.",1,100,53,8,0,2,3,.94
105,TX,5,"SESSIONS, PETER",2,0,41,1,0,0,2,.46000001
105,AZ,4,"SHADEGG, JOHN B.",2,0,47,3,0,1,1,.44
105,FL,22,"SHAW, E. CLAY, JR.",2,13,57,17,0,2,2,.54000002
105,CT,4,"SHAYS, CHRISTOPHER",2,63,51,11,0,1,0,.50999999
105,CA,24,"SHERMAN, BRAD",1,100,42,1,0,0,0,.51999998
105,IL,20,"SHIMKUS, JOHN M.",2,0,38,1,0,0,2,.47
105,PA,9,"SHUSTER, E.G.",2,13,64,25,0,3,2,.36000001
105,VA,4,"SISISKY, NORMAN",1,88,69,15,0,0,4,.46000001
105,CO,2,"SKAGGS, DAVID E.",1,88,53,11,0,1,2,.49000001
105,NM,2,"SKEEN, JOSEPH R.",2,13,69,17,0,1,1,.46000001
105,MO,4,"SKELTON, IKE",1,63,65,21,0,1,2,.41
105,NY,28,"SLAUGHTER, LOUISE M.",1,75,67,11,1,3,0,.55000001
105,WA,9,"SMITH, ADAM",1,100,31,1,0,0,0,.50999999
105,NJ,4,"SMITH, CHRISTOPHER H.",2,13,43,17,0,2,2,.50999999
105,TX,21,"SMITH, LAMAR S.",2,0,49,11,0,1,1,.30000001
105,WA,3,"SMITH, LINDA",2,0,46,3,1,1,1,.49000001
105,MI,7,"SMITH, NICK H.",2,13,62,5,0,3,1,.46000001
105,OR,2,"SMITH, ROBERT F.",2,13,65,15,0,1,2,.38
105,KS,3,"SNOWBARGER, VINCENT K.",2,13,46,1,0,0,2,.41999999
105,AR,2,"SNYDER, VICTOR F.",1,100,49,1,0,0,0,.55000001
105,NY,22,"SOLOMON, GERALD B.",2,0,66,19,0,2,3,.44999999
105,IN,4,"SOUDER, MARK E.",2,25,46,3,0,1,2,.36000001
105,SC,2,"SPENCE, FLOYD",2,0,68,27,0,0,4,.41
105,SC,5,"SPRATT, JOHN M.",1,88,54,15,0,3,0,.46000001
105,MI,8,"STABENOW, DEBORAH ANN",1,88,46,1,1,1,1,.49000001
105,CA,13,"STARK, FORTNEY (PETE)",1,100,65,25,0,3,2,.62
105,FL,6,"STEARNS, CLIFFORD",2,0,55,9,0,0,3,.38999999
105,TX,17,"STENHOLM, CHARLES WALTER",1,50,58,19,0,1,2,.38999999
105,OH,11,"STOKES, LOUIS",1,100,71,29,0,3,1,.79000002
105,OH,6,"STRICKLAND, TED",1,88,55,3,0,0,0,.44
105,AZ,3,"STUMP, BOB",2,0,69,21,0,1,2,.41
105,MI,1,"STUPAK, BART",1,63,44,5,0,0,2,.47
105,NH,1,"SUNUNU, JOHN E.",2,0,32,1,0,1,1,.47999999
105,MO,2,"TALENT, JAMES M.",2,0,40,5,0,2,1,.41
105,TN,8,"TANNER, JOHN S.",1,75,52,9,0,1,1,.5
105,CA,10,"TAUSCHER, ELLEN",1,88,45,1,1,1,0,.47999999
105,LA,3,"TAUZIN, WILBERT J.",2,0,53,18,0,1,4,.50999999
105,NC,11,"TAYLOR, CHARLES H.",2,0,55,7,0,0,3,.43000001
105,MS,5,"TAYLOR, GENE",1,13,43,8,0,2,1,.34999999
105,CA,21,"THOMAS, WILLIAM MARSHALL",2,13,55,19,0,1,1,.34
105,MS,2,"THOMPSON, BENNIE",1,100,48,5,0,1,0,.62
105,TX,13,"THORNBERRY, WILLIAM M. (MAC)",2,0,38,3,0,1,1,.38999999
105,SD,1,"THUNE, JOHN R.",2,13,36,1,0,2,0,.43000001
105,FL,5,"THURMAN, KAREN L.",1,100,46,5,1,1,1,.5
105,KS,4,"TIAHRT, TODD",2,0,45,3,0,1,2,.34999999
105,MA,6,"TIERNEY, JOHN F.",1,100,45,1,0,0,0,.58999997
